                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                0.48636,                0.39172,                0.98556,                0.80286,                0.70468,                 0.7845,                0.39459,                 1.8289,                 1.0438,                 2.7038,             0.00061282,             0.00061282,             0.00061282
                     78,                0.47879,                0.38037,                0.98062,                0.83121,                0.77774,                0.83871,                0.41892,                 1.7842,                0.93436,                 2.5759,             0.00060194,             0.00060194,             0.00060194
                     79,                0.48388,                0.38617,                0.98466,                0.78751,                0.77515,                0.81397,                0.40125,                 1.8077,                0.95253,                 2.6771,             0.00059106,             0.00059106,             0.00059106
                     80,                0.46711,                0.37674,                0.97809,                0.82952,                0.77445,                0.83643,                0.42897,                  1.787,                 0.9212,                 2.6303,             0.00058017,             0.00058017,             0.00058017
                     81,                 0.4767,                 0.3791,                0.97966,                0.78966,                0.74143,                0.79207,                0.39735,                 1.8691,                 1.0213,                 2.7524,             0.00056929,             0.00056929,             0.00056929
                     82,                0.47216,                0.37338,                0.97742,                0.78775,                0.75992,                0.81958,                0.42519,                 1.7958,                 1.0027,                 2.6289,             0.00055841,             0.00055841,             0.00055841
                     83,                0.47272,                0.37409,                0.97702,                0.80889,                0.70715,                0.78656,                0.37938,                 1.9765,                   1.03,                  2.877,             0.00054753,             0.00054753,             0.00054753
                     84,                0.47522,                0.37251,                 0.9791,                0.79248,                0.71482,                0.78044,                0.38452,                  1.926,                 1.0202,                 2.8537,             0.00053664,             0.00053664,             0.00053664
                     85,                0.45897,                0.36411,                0.96956,                0.80172,                 0.7386,                 0.7863,                0.39258,                 1.8815,                0.98048,                 2.7932,             0.00052576,             0.00052576,             0.00052576
                     86,                0.45745,                0.36554,                0.96838,                0.79414,                0.77564,                0.81543,                0.41472,                 1.8143,                 0.9458,                 2.7078,             0.00051488,             0.00051488,             0.00051488
                     87,                0.45796,                0.36509,                0.97306,                 0.7692,                 0.7679,                0.79948,                 0.4052,                 1.8347,                0.95354,                 2.7168,               0.000504,               0.000504,               0.000504
                     88,                0.46022,                0.36666,                0.97472,                0.80969,                0.71774,                0.79938,                0.39439,                   1.94,                 1.0327,                 2.9168,             0.00049311,             0.00049311,             0.00049311
                     89,                0.45706,                0.36452,                0.97443,                0.82159,                0.74843,                0.83609,                0.43252,                 1.7571,                0.93521,                  2.606,             0.00048223,             0.00048223,             0.00048223
                     90,                0.45094,                0.35384,                0.97017,                0.84553,                 0.7543,                0.82171,                0.40172,                 1.8376,                0.95231,                 2.6933,             0.00047135,             0.00047135,             0.00047135
                     91,                0.45541,                0.35954,                0.96648,                0.81205,                0.74461,                0.81502,                0.42334,                 1.7913,                0.92495,                 2.6845,             0.00046047,             0.00046047,             0.00046047
                     92,                0.45005,                0.35748,                0.97068,                0.80567,                0.77818,                0.81689,                0.41351,                 1.8289,                0.92056,                 2.7881,             0.00044959,             0.00044959,             0.00044959
                     93,                0.44835,                  0.352,                0.96533,                0.82711,                0.74109,                0.80759,                0.40285,                 1.8505,                0.94691,                 2.7331,              0.0004387,              0.0004387,              0.0004387
                     94,                0.44232,                0.35713,                0.96953,                0.82718,                0.73512,                0.81379,                0.41149,                  1.786,                0.95507,                 2.6269,             0.00042782,             0.00042782,             0.00042782
                     95,                0.44309,                0.34874,                0.96299,                0.79076,                0.72304,                0.79293,                0.40339,                 1.8189,                 1.0543,                 2.6708,             0.00041694,             0.00041694,             0.00041694
                     96,                0.43355,                0.34178,                0.96107,                0.80432,                0.76077,                0.80872,                0.40389,                 1.8308,                0.95188,                 2.7226,             0.00040606,             0.00040606,             0.00040606
                     97,                0.43918,                0.34909,                0.96425,                0.83789,                0.77087,                0.80575,                0.39484,                 1.8789,                0.91269,                 2.8501,             0.00039517,             0.00039517,             0.00039517
                     98,                0.43309,                0.34498,                0.95743,                0.82831,                0.74818,                0.81538,                0.40086,                 1.9065,                0.98184,                 2.8937,             0.00038429,             0.00038429,             0.00038429
                     99,                0.43797,                0.34523,                0.96651,                0.83153,                0.77093,                0.82539,                0.41552,                 1.8435,                0.95758,                 2.7289,             0.00037341,             0.00037341,             0.00037341
                    100,                0.42954,                0.33531,                0.95396,                 0.8239,                0.75424,                0.80358,                0.38845,                 1.9263,                0.96086,                 2.9335,             0.00036253,             0.00036253,             0.00036253
                    101,                0.43018,                0.33712,                0.95784,                0.82098,                0.76329,                0.81349,                0.39258,                 1.8873,                0.94379,                 2.8996,             0.00035164,             0.00035164,             0.00035164
                    102,                0.43567,                0.33967,                0.96327,                0.84173,                0.75595,                0.82872,                0.42217,                 1.8183,                0.92983,                 2.6846,             0.00034076,             0.00034076,             0.00034076
                    103,                0.42182,                0.33429,                0.95555,                0.85804,                0.75263,                0.82353,                0.40771,                 1.8705,                0.90566,                 2.8729,             0.00032988,             0.00032988,             0.00032988
                    104,                0.43204,                0.33624,                0.96357,                0.79804,                0.77041,                0.81841,                0.41699,                 1.7959,                0.92057,                 2.6631,               0.000319,               0.000319,               0.000319
                    105,                0.42259,                0.32903,                0.95827,                0.81827,                0.75122,                0.80999,                0.39922,                 1.9045,                0.94807,                 2.9049,             0.00030811,             0.00030811,             0.00030811
                    106,                0.42319,                0.33055,                0.95711,                0.81575,                0.76983,                0.80366,                 0.3986,                 1.8907,                0.94799,                 2.8855,             0.00029723,             0.00029723,             0.00029723
                    107,                0.42087,                0.33076,                0.95374,                0.81208,                0.72302,                0.81466,                0.40497,                 1.8256,                0.97887,                 2.7621,             0.00028635,             0.00028635,             0.00028635
                    108,                0.41239,                0.32264,                0.95153,                0.82048,                0.73245,                0.80876,                0.40417,                 1.8566,                0.96745,                 2.8393,             0.00027547,             0.00027547,             0.00027547
                    109,                0.42186,                0.32757,                0.95486,                0.82741,                 0.7791,                0.82101,                0.41337,                 1.8324,                0.89747,                 2.8307,             0.00026458,             0.00026458,             0.00026458
                    110,                0.41639,                0.31914,                0.95283,                0.81954,                0.79312,                 0.8259,                0.40617,                 1.8657,                0.92713,                 2.8677,              0.0002537,              0.0002537,              0.0002537
                    111,                0.41456,                0.32384,                0.95137,                0.76795,                0.76352,                0.80667,                0.39335,                  1.925,                 0.9793,                 2.9591,             0.00024282,             0.00024282,             0.00024282
                    112,                0.40711,                0.30946,                0.94769,                0.82431,                0.75534,                 0.8216,                0.40348,                 1.8776,                0.93871,                 2.8874,             0.00023194,             0.00023194,             0.00023194
                    113,                0.41343,                0.32126,                 0.9552,                0.81966,                0.77336,                0.81963,                0.40928,                 1.8332,                0.91652,                 2.7779,             0.00022106,             0.00022106,             0.00022106
                    114,                0.40756,                 0.3133,                0.94942,                0.80001,                0.76151,                0.81147,                 0.3987,                 1.9088,                0.94574,                 2.9426,             0.00021017,             0.00021017,             0.00021017
                    115,                0.41481,                0.32244,                0.95087,                0.82341,                0.76303,                0.81233,                0.39229,                 1.9663,                0.97196,                 3.0408,             0.00019929,             0.00019929,             0.00019929
                    116,                0.39647,                0.31066,                0.94299,                0.83498,                 0.7559,                0.82138,                0.40865,                 1.8876,                0.92599,                  2.919,             0.00018841,             0.00018841,             0.00018841
                    117,                0.40621,                0.30834,                0.94433,                0.81629,                0.76079,                0.82677,                0.41097,                  1.846,                0.96536,                 2.8369,             0.00017753,             0.00017753,             0.00017753
                    118,                0.39278,                0.30583,                0.94079,                0.82043,                0.77432,                0.82555,                0.41606,                 1.8377,                 0.9369,                 2.8238,             0.00016664,             0.00016664,             0.00016664
                    119,                0.39187,                0.30537,                0.94124,                 0.8385,                0.77879,                0.83311,                0.41381,                 1.8638,                0.91368,                 2.9151,             0.00015576,             0.00015576,             0.00015576
                    120,                0.39222,                0.29906,                0.94191,                0.85081,                0.73578,                 0.8237,                0.40169,                 1.8851,                0.92762,                 2.9119,             0.00014488,             0.00014488,             0.00014488
